Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Navn,Adresse,Brutto kvm.,Værelser,Faciliteter,Plantegning PDF,Plantegning Billede,Etage,Ejendom,Ejendomskode,Bygnings ID,Lejlighedsnummer,Lejligheds ID
"Dortheavej, 1. sal, lejlighed 06",dortheavej-1-sal-lejlighed-06,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,68b1b4468c726eae0a2c37cb,FALSE,FALSE,Fri Aug 29 2025 14:08:06 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:06 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Dortheavej, 1. sal, lejlighed 06</p>","<p>Dortheavej 3, 1. sal – Lejlighed 06</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri</p><p id="""">· Privat depotrum i kælderen</p><p id="""">· Altan (til de boliger med altan)</p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen</p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",,,etage-1,dortheavej,DOR,,6,DOR-1-06
"Dortheavej, 1. sal, lejlighed 07",dortheavej-1-sal-lejlighed-07,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,68b1b4468c726eae0a2c37d2,FALSE,FALSE,Fri Aug 29 2025 14:08:06 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:06 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Dortheavej, 1. sal, lejlighed 07</p>","<p>Dortheavej 3, 1. sal – Lejlighed 07</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri</p><p id="""">· Privat depotrum i kælderen</p><p id="""">· Altan (til de boliger med altan)</p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen</p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",,,etage-1,dortheavej,DOR,,7,DOR-1-07
"Dortheavej, 1. sal, lejlighed 08",dortheavej-1-sal-lejlighed-08,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,68b1b4468c726eae0a2c37d9,FALSE,FALSE,Fri Aug 29 2025 14:08:06 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:06 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Dortheavej, 1. sal, lejlighed 08</p>","<p>Dortheavej 3, 1. sal – Lejlighed 08</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri</p><p id="""">· Privat depotrum i kælderen</p><p id="""">· Altan (til de boliger med altan)</p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen</p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",,,etage-1,dortheavej,DOR,,8,DOR-1-08
"Dortheavej, 1. sal, lejlighed 09",dortheavej-1-sal-lejlighed-09,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,68b1b4672f6e34d834b105bb,FALSE,FALSE,Fri Aug 29 2025 14:08:39 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:39 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:39 GMT+0000 (Coordinated Universal Time),"<p id="""">Dortheavej, 1. sal, lejlighed 09</p>","<p>Dortheavej 3, 1. sal – Lejlighed 09</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri</p><p id="""">· Privat depotrum i kælderen</p><p id="""">· Altan (til de boliger med altan)</p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen</p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",,,etage-1,dortheavej,DOR,,9,DOR-1-09
"Dortheavej, 1. sal, lejlighed 10",dortheavej-1-sal-lejlighed-10,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,68b1b4672f6e34d834b105c2,FALSE,FALSE,Fri Aug 29 2025 14:08:39 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:39 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:39 GMT+0000 (Coordinated Universal Time),"<p id="""">Dortheavej, 1. sal, lejlighed 10</p>","<p>Dortheavej 3, 1. sal – Lejlighed 10</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri</p><p id="""">· Privat depotrum i kælderen</p><p id="""">· Altan (til de boliger med altan)</p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen</p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",,,etage-1,dortheavej,DOR,,10,DOR-1-10
"Dortheavej, 1. sal, lejlighed 11",dortheavej-1-sal-lejlighed-11,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,68b1b4672f6e34d834b105c9,FALSE,FALSE,Fri Aug 29 2025 14:08:39 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:39 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:39 GMT+0000 (Coordinated Universal Time),"<p id="""">Dortheavej, 1. sal, lejlighed 11</p>","<p>Dortheavej 3, 1. sal – Lejlighed 11</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri</p><p id="""">· Privat depotrum i kælderen</p><p id="""">· Altan (til de boliger med altan)</p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen</p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",,,etage-1,dortheavej,DOR,,11,DOR-1-11
"Dortheavej, 1. sal, lejlighed 12",dortheavej-1-sal-lejlighed-12,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,68b1b4672f6e34d834b105d0,FALSE,FALSE,Fri Aug 29 2025 14:08:39 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:39 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:39 GMT+0000 (Coordinated Universal Time),"<p id="""">Dortheavej, 1. sal, lejlighed 12</p>","<p>Dortheavej 3, 1. sal – Lejlighed 12</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri</p><p id="""">· Privat depotrum i kælderen</p><p id="""">· Altan (til de boliger med altan)</p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen</p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",,,etage-1,dortheavej,DOR,,12,DOR-1-12
"Dortheavej, 1. sal, lejlighed 13",dortheavej-1-sal-lejlighed-13,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,68b1b48c5a00b5e2be0d610d,FALSE,FALSE,Fri Aug 29 2025 14:09:16 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:09:16 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:09:16 GMT+0000 (Coordinated Universal Time),"<p id="""">Dortheavej, 1. sal, lejlighed 13</p>","<p>Dortheavej 3, 1. sal – Lejlighed 13</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri</p><p id="""">· Privat depotrum i kælderen</p><p id="""">· Altan (til de boliger med altan)</p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen</p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",,,etage-1,dortheavej,DOR,,13,DOR-1-13
"Dortheavej, 1. sal, lejlighed 14",dortheavej-1-sal-lejlighed-14,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,68b1b48c5a00b5e2be0d6114,FALSE,FALSE,Fri Aug 29 2025 14:09:16 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:09:16 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:09:16 GMT+0000 (Coordinated Universal Time),"<p id="""">Dortheavej, 1. sal, lejlighed 14</p>","<p>Dortheavej 3, 1. sal – Lejlighed 14</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri</p><p id="""">· Privat depotrum i kælderen</p><p id="""">· Altan (til de boliger med altan)</p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen</p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",,,etage-1,dortheavej,DOR,,14,DOR-1-14
"Dortheavej, 1. sal, lejlighed 15",dortheavej-1-sal-lejlighed-15,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,68b1b48c5a00b5e2be0d611b,FALSE,FALSE,Fri Aug 29 2025 14:09:16 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:09:16 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:09:16 GMT+0000 (Coordinated Universal Time),"<p id="""">Dortheavej, 1. sal, lejlighed 15</p>","<p>Dortheavej 3, 1. sal – Lejlighed 15</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri</p><p id="""">· Privat depotrum i kælderen</p><p id="""">· Altan (til de boliger med altan)</p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen</p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",,,etage-1,dortheavej,DOR,,15,DOR-1-15
